TransactionID,Date,Amount,Status,BranchID,BranchName,BranchCity,TransactionType,FailureReason
TXN19488,2025-05-07,8301,FAILED,VEL2,Velachery,Chennai,DEBIT CARD,Invalid Account Number
TXN82572,2025-05-02,474,FAILED,VIM7,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN11339,2025-05-04,9134,FAILED,WHI4,Whitefield,Bangalore,NEFT,Invalid Account Number
TXN88021,2025-05-02,3978,FAILED,KOR2,Koramangala,Bangalore,CASH,Invalid Account Number
TXN24819,2025-05-04,9066,FAILED,KOR6,Koramangala,Bangalore,CREDIT CARD,Invalid Account Number
TXN38488,2025-05-07,9794,FAILED,MG 4,MG Road,Bangalore,CREDIT CARD,Technical Error
TXN16499,2025-05-04,4772,FAILED,VEL8,Velachery,Chennai,DEBIT CARD,Insufficient Funds
TXN44004,2025-05-02,3634,FAILED,MG 7,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN28345,2025-05-02,3414,FAILED,IND7,Indiranagar,Bangalore,DEBIT CARD,Network Timeout
TXN62230,2025-05-05,8021,FAILED,ANN4,Anna Nagar,Chennai,NEFT,Account Blocked
TXN82223,2025-05-07,6902,FAILED,ANN6,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN71864,2025-05-04,7331,FAILED,IND6,Indiranagar,Bangalore,CREDIT CARD,Insufficient Funds
TXN38473,2025-05-01,4162,FAILED,KOR3,Koramangala,Bangalore,DEBIT CARD,Technical Error
TXN28144,2025-05-01,2060,FAILED,IND2,Indiranagar,Bangalore,NEFT,Technical Error
TXN66394,2025-05-03,1595,FAILED,ANN4,Anna Nagar,Chennai,CASH,Account Blocked
TXN24547,2025-05-03,3616,FAILED,WHI6,Whitefield,Bangalore,CREDIT CARD,Technical Error
TXN21329,2025-05-01,2479,FAILED,VEL8,Velachery,Chennai,NEFT,Technical Error
TXN95025,2025-05-01,7535,FAILED,VIM7,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN88724,2025-05-02,9912,FAILED,ANN6,Anna Nagar,Chennai,CASH,Account Blocked
TXN56095,2025-05-02,3642,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Technical Error
TXN99061,2025-05-03,2607,FAILED,VIM1,Viman Nagar,Pune,CREDIT CARD,Exceeded Limit
TXN35889,2025-05-02,7739,FAILED,ANN4,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN89741,2025-05-06,7621,FAILED,KOR8,Koramangala,Bangalore,CASH,Insufficient Funds
TXN91001,2025-05-01,8631,FAILED,VIM3,Viman Nagar,Pune,CREDIT CARD,Network Timeout
TXN51480,2025-05-03,6644,FAILED,ANN1,Anna Nagar,Chennai,NEFT,Technical Error
TXN26934,2025-05-02,6211,FAILED,WHI3,Whitefield,Bangalore,CREDIT CARD,Account Blocked
TXN96757,2025-05-06,8631,FAILED,IND3,Indiranagar,Bangalore,CASH,Technical Error
TXN46628,2025-05-06,903,FAILED,ANN7,Anna Nagar,Chennai,CASH,Insufficient Funds
TXN56693,2025-05-04,1218,FAILED,VEL7,Velachery,Chennai,DEBIT CARD,Network Timeout
TXN99937,2025-05-04,5705,FAILED,ANN7,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN58541,2025-05-07,1583,FAILED,VIM7,Viman Nagar,Pune,DEBIT CARD,Invalid Account Number
TXN84855,2025-05-05,7148,FAILED,VEL9,Velachery,Chennai,CREDIT CARD,Account Blocked
TXN54208,2025-05-03,1061,FAILED,VIM3,Viman Nagar,Pune,CREDIT CARD,Account Blocked
TXN65990,2025-05-01,6495,FAILED,IND7,Indiranagar,Bangalore,NEFT,Technical Error
TXN81653,2025-05-05,1248,FAILED,WHI8,Whitefield,Bangalore,CASH,Invalid Account Number
TXN75822,2025-05-01,9905,FAILED,VIM5,Viman Nagar,Pune,NEFT,Network Timeout
TXN59599,2025-05-04,5677,FAILED,IND1,Indiranagar,Bangalore,CREDIT CARD,Network Timeout
TXN49978,2025-05-04,4515,FAILED,IND6,Indiranagar,Bangalore,DEBIT CARD,Technical Error
TXN44571,2025-05-02,7116,FAILED,ANN8,Anna Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN78064,2025-05-02,4719,FAILED,KOR8,Koramangala,Bangalore,DEBIT CARD,Account Blocked
TXN82327,2025-05-06,1352,FAILED,VEL4,Velachery,Chennai,NEFT,Network Timeout
TXN90508,2025-05-03,3649,FAILED,VIM5,Viman Nagar,Pune,DEBIT CARD,Technical Error
TXN85959,2025-05-03,7115,FAILED,VEL2,Velachery,Chennai,CASH,Account Blocked
TXN93651,2025-05-01,2331,FAILED,ANN6,Anna Nagar,Chennai,DEBIT CARD,Technical Error
TXN89635,2025-05-07,5421,FAILED,KOR4,Koramangala,Bangalore,CREDIT CARD,Invalid Account Number
TXN20603,2025-05-01,3528,FAILED,VEL1,Velachery,Chennai,DEBIT CARD,Technical Error
TXN91434,2025-05-01,8293,FAILED,SHI7,Shivaji Nagar,Pune,CASH,Invalid Account Number
TXN34905,2025-05-01,3298,FAILED,KOT7,Kothrud,Pune,CASH,Technical Error
TXN95801,2025-05-03,985,FAILED,ADY9,Adyar,Chennai,CASH,Network Timeout
TXN81473,2025-05-04,7478,FAILED,T N6,T Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN84630,2025-05-04,3206,FAILED,KOT2,Kothrud,Pune,DEBIT CARD,Invalid Account Number
TXN99593,2025-05-07,8410,FAILED,SHI6,Shivaji Nagar,Pune,CASH,Network Timeout
TXN18362,2025-05-07,8553,FAILED,T N4,T Nagar,Chennai,CASH,Technical Error
TXN30635,2025-05-06,1864,FAILED,BTM7,BTM,Bangalore,CREDIT CARD,Invalid Account Number
TXN37828,2025-05-01,2071,FAILED,HIN5,Hinjewadi,Pune,CREDIT CARD,Technical Error
TXN62968,2025-05-07,3872,FAILED,HAD2,Hadapsar,Pune,NEFT,Insufficient Funds
TXN90026,2025-05-05,6687,FAILED,BTM4,BTM,Bangalore,CASH,Insufficient Funds
TXN14966,2025-05-03,2036,FAILED,T N2,T Nagar,Chennai,DEBIT CARD,Account Blocked
TXN63880,2025-05-05,6690,FAILED,HAD4,Hadapsar,Pune,CREDIT CARD,Exceeded Limit
TXN61941,2025-05-04,9564,FAILED,BTM4,BTM,Bangalore,NEFT,Account Blocked
TXN95993,2025-05-05,1675,FAILED,KOT1,Kothrud,Pune,DEBIT CARD,Exceeded Limit
TXN33331,2025-05-07,9797,FAILED,T N4,T Nagar,Chennai,NEFT,Exceeded Limit
TXN42973,2025-05-02,5572,FAILED,BTM7,BTM,Bangalore,CASH,Network Timeout
TXN34098,2025-05-03,4433,FAILED,BTM2,BTM,Bangalore,DEBIT CARD,Exceeded Limit
TXN74682,2025-05-06,7678,FAILED,BTM6,BTM,Bangalore,CASH,Network Timeout
TXN20948,2025-05-04,4789,FAILED,KOT5,Kothrud,Pune,CREDIT CARD,Account Blocked
TXN18864,2025-05-01,3280,FAILED,T N8,T Nagar,Chennai,CASH,Network Timeout
TXN39846,2025-05-05,9667,FAILED,HIN1,Hinjewadi,Pune,NEFT,Invalid Account Number
TXN15220,2025-05-03,7167,FAILED,SHI9,Shivaji Nagar,Pune,CASH,Insufficient Funds
TXN87524,2025-05-07,1256,FAILED,KOT9,Kothrud,Pune,CASH,Invalid Account Number
TXN43771,2025-05-07,9668,FAILED,SHI7,Shivaji Nagar,Pune,CREDIT CARD,Technical Error
TXN19825,2025-05-05,3033,FAILED,ADY3,Adyar,Chennai,CASH,Account Blocked
TXN93422,2025-05-01,7917,FAILED,SHI2,Shivaji Nagar,Pune,NEFT,Network Timeout
TXN76415,2025-05-05,5414,FAILED,BTM5,BTM,Bangalore,CASH,Invalid Account Number
TXN22570,2025-05-02,6056,FAILED,HAD7,Hadapsar,Pune,CREDIT CARD,Network Timeout
TXN69930,2025-05-05,666,FAILED,ADY4,Adyar,Chennai,CREDIT CARD,Invalid Account Number
TXN40597,2025-05-05,2080,FAILED,ADY1,Adyar,Chennai,NEFT,Invalid Account Number
TXN34256,2025-05-04,6761,FAILED,HAD7,Hadapsar,Pune,NEFT,Exceeded Limit
TXN61643,2025-05-05,6291,FAILED,SHI7,Shivaji Nagar,Pune,NEFT,Technical Error
TXN52001,2025-05-05,5833,FAILED,BTM8,BTM,Bangalore,CASH,Exceeded Limit
TXN57039,2025-05-04,9256,FAILED,KOT4,Kothrud,Pune,CREDIT CARD,Insufficient Funds
TXN29317,2025-05-05,999,FAILED,BTM4,BTM,Bangalore,CREDIT CARD,Insufficient Funds
TXN20871,2025-05-05,3774,FAILED,HAD2,Hadapsar,Pune,CASH,Technical Error
TXN67092,2025-05-07,4742,FAILED,BTM6,BTM,Bangalore,CASH,Technical Error
TXN68039,2025-05-05,4573,FAILED,SHI3,Shivaji Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN45765,2025-05-03,6660,FAILED,BTM5,BTM,Bangalore,CASH,Exceeded Limit
TXN58395,2025-05-05,6626,FAILED,SHI4,Shivaji Nagar,Pune,CASH,Exceeded Limit
TXN40453,2025-05-04,6446,FAILED,HIN4,Hinjewadi,Pune,CASH,Network Timeout
TXN91855,2025-05-06,8683,FAILED,T N7,T Nagar,Chennai,DEBIT CARD,Exceeded Limit
TXN16844,2025-05-07,9321,FAILED,T N3,T Nagar,Chennai,CREDIT CARD,Account Blocked
TXN33699,2025-05-02,5600,FAILED,ADY6,Adyar,Chennai,DEBIT CARD,Account Blocked
TXN89423,2025-05-03,8636,FAILED,ADY3,Adyar,Chennai,DEBIT CARD,Technical Error
TXN71236,2025-05-03,6710,FAILED,WHI2,Whitefield,Bangalore,NEFT,Network Timeout
TXN65685,2025-05-07,5817,FAILED,VIM5,Viman Nagar,Pune,CREDIT CARD,Insufficient Funds
TXN26414,2025-05-03,801,FAILED,IND2,Indiranagar,Bangalore,CREDIT CARD,Network Timeout
TXN51556,2025-05-06,2267,FAILED,WHI9,Whitefield,Bangalore,NEFT,Insufficient Funds
TXN72774,2025-05-02,7158,FAILED,MG 5,MG Road,Bangalore,CASH,Invalid Account Number
TXN35706,2025-05-05,3766,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Account Blocked
TXN83996,2025-05-07,9472,FAILED,VEL4,Velachery,Chennai,NEFT,Invalid Account Number
TXN88162,2025-05-01,5244,FAILED,IND3,Indiranagar,Bangalore,CASH,Insufficient Funds
TXN47508,2025-05-03,1411,FAILED,IND2,Indiranagar,Bangalore,DEBIT CARD,Technical Error
TXN96931,2025-05-07,4786,FAILED,KOR1,Koramangala,Bangalore,NEFT,Network Timeout
TXN69056,2025-05-04,3091,FAILED,WHI7,Whitefield,Bangalore,CREDIT CARD,Invalid Account Number
TXN45494,2025-05-03,2720,FAILED,IND5,Indiranagar,Bangalore,CREDIT CARD,Technical Error
TXN27209,2025-05-04,2753,FAILED,VEL6,Velachery,Chennai,CREDIT CARD,Account Blocked
TXN79909,2025-05-06,6012,FAILED,WHI5,Whitefield,Bangalore,DEBIT CARD,Technical Error
TXN77129,2025-05-04,1263,FAILED,KOR4,Koramangala,Bangalore,NEFT,Exceeded Limit
TXN26981,2025-05-06,5684,FAILED,MG 8,MG Road,Bangalore,CASH,Technical Error
TXN45711,2025-05-03,4364,FAILED,VEL6,Velachery,Chennai,CASH,Exceeded Limit
TXN12298,2025-05-03,1897,FAILED,IND8,Indiranagar,Bangalore,DEBIT CARD,Exceeded Limit
TXN34105,2025-05-01,9731,FAILED,KOR5,Koramangala,Bangalore,NEFT,Invalid Account Number
TXN76849,2025-05-01,9705,FAILED,ANN4,Anna Nagar,Chennai,CREDIT CARD,Network Timeout
TXN12051,2025-05-04,3417,FAILED,ANN3,Anna Nagar,Chennai,NEFT,Technical Error
TXN78413,2025-05-06,6795,FAILED,VIM1,Viman Nagar,Pune,CREDIT CARD,Exceeded Limit
TXN73253,2025-05-07,8789,FAILED,KOR7,Koramangala,Bangalore,CREDIT CARD,Technical Error
TXN54967,2025-05-01,865,FAILED,WHI9,Whitefield,Bangalore,CASH,Account Blocked
TXN23467,2025-05-01,5683,FAILED,MG 2,MG Road,Bangalore,CREDIT CARD,Network Timeout
TXN36975,2025-05-01,9991,FAILED,WHI3,Whitefield,Bangalore,CREDIT CARD,Insufficient Funds
TXN78029,2025-05-01,8417,FAILED,MG 9,MG Road,Bangalore,CASH,Network Timeout
TXN57083,2025-05-06,7160,FAILED,MG 5,MG Road,Bangalore,DEBIT CARD,Insufficient Funds
TXN24957,2025-05-06,5770,FAILED,WHI4,Whitefield,Bangalore,DEBIT CARD,Technical Error
TXN45521,2025-05-04,2062,FAILED,MG 2,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN17152,2025-05-01,2402,FAILED,MG 2,MG Road,Bangalore,NEFT,Insufficient Funds
TXN64791,2025-05-05,4023,FAILED,MG 3,MG Road,Bangalore,CREDIT CARD,Invalid Account Number
TXN21920,2025-05-02,170,FAILED,WHI2,Whitefield,Bangalore,CREDIT CARD,Invalid Account Number
TXN78366,2025-05-04,3863,FAILED,ANN7,Anna Nagar,Chennai,CASH,Exceeded Limit
TXN26942,2025-05-07,5320,FAILED,WHI1,Whitefield,Bangalore,NEFT,Exceeded Limit
TXN40139,2025-05-01,1832,FAILED,VEL1,Velachery,Chennai,NEFT,Insufficient Funds
TXN17977,2025-05-03,2283,FAILED,VIM7,Viman Nagar,Pune,NEFT,Exceeded Limit
TXN10797,2025-05-04,3046,FAILED,VEL1,Velachery,Chennai,DEBIT CARD,Network Timeout
TXN58840,2025-05-01,5783,FAILED,KOR2,Koramangala,Bangalore,CASH,Exceeded Limit
TXN87429,2025-05-05,871,FAILED,ANN9,Anna Nagar,Chennai,CREDIT CARD,Insufficient Funds
TXN15056,2025-05-05,887,FAILED,VIM2,Viman Nagar,Pune,CREDIT CARD,Insufficient Funds
TXN60817,2025-05-03,9869,FAILED,ANN4,Anna Nagar,Chennai,DEBIT CARD,Account Blocked
TXN15326,2025-05-01,3067,FAILED,VEL7,Velachery,Chennai,DEBIT CARD,Invalid Account Number
TXN72271,2025-05-02,914,FAILED,VEL8,Velachery,Chennai,CASH,Account Blocked
TXN23726,2025-05-02,5523,FAILED,MG 6,MG Road,Bangalore,CREDIT CARD,Insufficient Funds
TXN62153,2025-05-04,1762,FAILED,KOR4,Koramangala,Bangalore,CREDIT CARD,Network Timeout
TXN55692,2025-05-03,3118,FAILED,VIM6,Viman Nagar,Pune,DEBIT CARD,Technical Error
TXN48294,2025-05-02,4936,FAILED,IND5,Indiranagar,Bangalore,NEFT,Exceeded Limit
TXN70251,2025-05-01,3716,FAILED,VEL5,Velachery,Chennai,NEFT,Account Blocked
TXN33639,2025-05-02,6944,FAILED,WHI7,Whitefield,Bangalore,NEFT,Insufficient Funds
TXN68133,2025-05-05,3249,FAILED,VIM2,Viman Nagar,Pune,CASH,Account Blocked
TXN66859,2025-05-02,6167,FAILED,VIM4,Viman Nagar,Pune,DEBIT CARD,Invalid Account Number
TXN13813,2025-05-01,4497,FAILED,VIM4,Viman Nagar,Pune,CREDIT CARD,Invalid Account Number
TXN73798,2025-05-01,4012,FAILED,ANN4,Anna Nagar,Chennai,NEFT,Invalid Account Number
TXN43538,2025-05-07,3347,FAILED,ANN7,Anna Nagar,Chennai,CASH,Technical Error
TXN84798,2025-05-06,9586,FAILED,VIM6,Viman Nagar,Pune,CREDIT CARD,Technical Error
TXN99987,2025-05-06,7088,FAILED,MG 4,MG Road,Bangalore,DEBIT CARD,Account Blocked
TXN92019,2025-05-05,4043,FAILED,IND9,Indiranagar,Bangalore,CASH,Invalid Account Number
TXN95224,2025-05-01,3237,FAILED,WHI5,Whitefield,Bangalore,CREDIT CARD,Insufficient Funds
TXN56339,2025-05-07,3344,FAILED,ANN5,Anna Nagar,Chennai,DEBIT CARD,Network Timeout
TXN92087,2025-05-07,3162,FAILED,SHI6,Shivaji Nagar,Pune,NEFT,Insufficient Funds
TXN56274,2025-05-05,8546,FAILED,T N2,T Nagar,Chennai,CREDIT CARD,Insufficient Funds
TXN31753,2025-05-07,1094,FAILED,KOT6,Kothrud,Pune,CASH,Network Timeout
TXN44991,2025-05-01,1832,FAILED,KOT1,Kothrud,Pune,NEFT,Network Timeout
TXN23225,2025-05-05,7635,FAILED,KOT6,Kothrud,Pune,CASH,Exceeded Limit
TXN68253,2025-05-01,5798,FAILED,ADY3,Adyar,Chennai,NEFT,Invalid Account Number
